Code,Fund_Name,latest_price,fund_house,currency,Fund_class_inception_date,Fund_size_Million_currency,Fund_size_Million_amount,Fund_size_Million_date,HSBC_risk_level,fiftytwoweek_range_currency,fiftytwoweek_range_min,fiftytwoweek_range_max,HSBC_investment_category,Investment_style,Investment_instrument,Annualised_return,Morningstar_rating_out_of_five,HSBC_initial_charge,Annual_management_fee_max,HSBC_min_investment_amount_unit,HSBC_min_investment_amount,HSBC_min_investment_amount_USD,Annualised_returns: 1 month,Annualised_returns: 3 month,Annualised_returns: 6 month,Annualised_returns: 1 year,Annualised_returns: 3 year,Annualised_returns: 5 year,Annualised_returns: 10 year,Asset allocation: Stock,Asset allocation: Bond,Asset allocation: Cash,Asset allocation: Cash & Equivalents,Asset allocation: Derivative,Asset allocation: Others,Financial Services,Real Estate,Corporate,Healthcare,Utilities,Basic Materials,Communication Services,Energy,Consumer Cyclical,Industrials,Securitized,Government,Consumer Defensive,Technology,United States,Latin America,Canada,United Kingdom,Europe - Emerging,Europe - ex Euro,Eurozone,Australasia,Asia - Developed,Asia - Emerging,Middle East,Japan,Africa,Equity_holdings_sector_max,Equity_holdings_country_max
U62771,BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A6-EUR-HED-MDIST-CASH) U62771,8.22,BlackRock,EUR,2015-03-11,USD,5158.1,2021-12-31,3,EUR,8.09,9.7,Asian Fixed Income,"Bond, Cash, Others",Monthly,0.0114,,0.02,0.01,EUR,850.0,952.0,-0.0289,-0.0409,-0.0944,-0.1094,-0.0031,-0.0040999999999999,,0.0,0.8666,0.0646,0.0,0.0,0.0688,0.0,0.0,0.7063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.3078,0.0,0.0,0.2489,0.0,0.0,0.0012,0.0,0.0,0.0033,0.0,0.1057,0.6668,0.0426,0.0094,0.0043,Corporate,Asia - Emerging
U62909,Amundi HK - Disruptive Opportunities Equity (Class Classic-RMB-H-MD-C) U62909,15.6,Amundi Hong Kong Limited,CNY,2017-09-11,USD,154.34,2021-12-31,5,CNY,15.6,19.81,Global Equity - Broad,Growth,"Stock, Cash, Others",0.2965,,0.03,0.0165,CNY,10000.0,1600.0,-0.1375,-0.1912,-0.1467999999999999,-0.1595,0.1903,,,0.9553,0.0,0.0,0.0,0.0,0.0477,0.1032,0.0447,0.0,0.1638,0.0,0.0041,0.0341,0.0,0.0701,0.1401,0.0,0.0,0.0125,0.3824,0.692,0.0,0.0144,0.015,0.0,0.0,0.033,0.0,0.0363,0.1013,0.0,0.063,0.0,Technology,United States
U63058,HSBC CIT-HSBC ASIA MULTI-ASSET HIGH INCOME FUND (CLASS AM3O-CADH-MD-C) U63058,8.493,HSBC Global Asset Management  (Hong Kong) Limited,CAD,2021-01-15,USD,256.4,2022-01-25,4,CAD,8.343,10.335,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.0,,0.03,0.0125,CAD,1000.0,790.0,-0.0125,-0.0354,-0.0891,-0.1088,,,,0.4614,0.4797,0.0469,0.0469,0.0,0.0119,0.1051,0.0762,0.4873,0.0,0.0093,0.0447,0.0752,0.0,0.0058,0.0091,0.0,0.0043,0.019,0.1175,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0605,0.2202,0.1812,0.0,0.0,0.0048,Corporate,Asia - Developed
U63060,HSBC CIT-HSBC ASIA MULTI-ASSET HIGH INCOME FUND (CLASS AM3O-GBPH-MD-C) U63060,8.484,HSBC Global Asset Management  (Hong Kong) Limited,GBP,2021-01-15,USD,256.4,2022-01-25,4,GBP,8.333,10.329,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.0,,0.03,0.0125,GBP,650.0,871.0,-0.0124,-0.0358,-0.0898,-0.1093,,,,0.4614,0.4797,0.0469,0.0469,0.0,0.0119,0.1051,0.0762,0.4873,0.0,0.0093,0.0447,0.0752,0.0,0.0058,0.0091,0.0,0.0043,0.019,0.1175,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0605,0.2202,0.1812,0.0,0.0,0.0048,Corporate,Asia - Developed
U63090,SCHRODER CHINA ASSET INCOME FUND (A-USD-MD-C) U63090,12.6735,Schroder Investment Management (HK) Ltd,USD,2016-08-18,USD,723.81,2022-01-24,4,USD,12.6735,15.6998,Multi-Asset - Asia,Growth,"Stock, Bond, Cash, Others",0.131,4.0,0.03,0.015,USD,1000.0,1000.0,-0.0293,-0.0678,-0.0861,-0.1458,0.1033999999999999,0.0865,,0.4948,0.4288,0.0449,0.0433,0.0016,0.0314,0.04,0.011,0.2656,0.0454,0.0081,0.0533,0.0467,0.0011,0.1016,0.079,0.0,0.1869,0.0457,0.0645,0.0146,0.0016,0.0065,0.0031,0.0,0.0015,0.0069,0.0043,0.0037,0.2971,0.0124,0.0005,0.0002,Corporate,Asia - Emerging
U63057,HSBC CIT-HSBC ASIA MULTI-ASSET HIGH INCOME FUND (CLASS AM3O-AUDH-MD-C) U63057,8.495,HSBC Global Asset Management  (Hong Kong) Limited,AUD,2021-01-15,USD,256.4,2022-01-25,4,AUD,8.345,10.344,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.0,,0.03,0.0125,AUD,1500.0,1065.0,-0.0133,-0.0373,-0.0919,-0.1107,,,,0.4614,0.4797,0.0469,0.0469,0.0,0.0119,0.1051,0.0762,0.4873,0.0,0.0093,0.0447,0.0752,0.0,0.0058,0.0091,0.0,0.0043,0.019,0.1175,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0605,0.2202,0.1812,0.0,0.0,0.0048,Corporate,Asia - Developed
U62737,JPM US Technology A (ADIST UNIT) - USD U62737,39.89,J.P. Morgan Asset Management,USD,1997-12-05,USD,5825.44,2022-01-25,5,USD,39.33,53.98,Specialised Sector Equity,Growth,"Stock, Cash",0.4386,5.0,0.03,0.015,USD,1000.0,1000.0,-0.1928,-0.195,-0.1651,-0.1648,0.2888,0.2736,0.1924,0.9813,0.0,0.0187,0.0,0.0,0.0,0.0136,0.0,0.0,0.0215,0.0,0.0,0.1651,0.0,0.1126,0.0,0.0,0.0,0.0,0.6685,0.9315,0.0122,0.0084,0.0,0.0,0.0,0.0152,0.0,0.0065,0.0,0.0075,0.0,0.0,Technology,United States
U63059,HSBC CIT-HSBC ASIA MULTI-ASSET HIGH INCOME FUND (CLASS AM3O-EURH-MD-C) U63059,8.464,HSBC Global Asset Management  (Hong Kong) Limited,EUR,2021-01-15,USD,256.4,2022-01-25,4,EUR,8.317,10.304,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.0,,0.03,0.0125,EUR,850.0,952.0,-0.0131,-0.0371,-0.0932,-0.1143,,,,0.4614,0.4797,0.0469,0.0469,0.0,0.0119,0.1051,0.0762,0.4873,0.0,0.0093,0.0447,0.0752,0.0,0.0058,0.0091,0.0,0.0043,0.019,0.1175,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0605,0.2202,0.1812,0.0,0.0,0.0048,Corporate,Asia - Developed
U63091,SCHRODER CHINA ASSET INCOME FUND (A-AUDH-MD-C) U63091,12.4672,Schroder Investment Management (HK) Ltd,AUD,2016-08-18,USD,723.81,2022-01-24,4,AUD,12.4672,15.5569,Multi-Asset - Asia,Growth,"Stock, Bond, Cash, Others",0.1191,,0.03,0.015,AUD,1500.0,1065.0,-0.0299,-0.0698,-0.0901,-0.1524,0.0917999999999999,0.0782,,0.4948,0.4288,0.0449,0.0433,0.0016,0.0314,0.04,0.011,0.2656,0.0454,0.0081,0.0533,0.0467,0.0011,0.1016,0.079,0.0,0.1869,0.0457,0.0645,0.0146,0.0016,0.0065,0.0031,0.0,0.0015,0.0069,0.0043,0.0037,0.2971,0.0124,0.0005,0.0002,Corporate,Asia - Emerging
U62565,HSBC GIF-Managed Solution-Asia Focused Growth (Class AC-HKD) U62565,14.162,HSBC Global Asset Management  (Hong Kong) Limited,HKD,2013-03-15,USD,40.25,2022-01-25,4,HKD,14.162,17.323,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.1145,4.0,0.03,0.015,HKD,10000.0,1300.0,-0.0327,-0.073,-0.1007,-0.1549,0.0724,0.0719,,0.7731,0.1987,0.0337,0.0353,0.0,0.0,0.1189,0.0161,0.0476,0.0299,0.0056,0.016,0.2484,0.0091,0.053,0.0,0.0,0.1519,0.0482,0.2279,0.0,0.0055,0.0,0.0,0.0018,0.0,0.0074,0.0001,0.4089,0.1225,0.0002,0.0,0.0045,Communication Services,Asia - Developed
